RUN,1 thread,2 threads,4 threads,8 threads,16 threads
1,13.208308134,6.701107530,3.820377646,2.286777762,1.639576385
2,13.188565466,6.665750532,3.712398651,2.288371041,1.616800926
3,13.180672795,6.723846888,3.737724046,2.271678384,1.666474507
4,13.176750431,6.690253441,3.751940619,2.336609357,1.609807123
5,13.301428852,6.731777014,3.727644995,2.309118199,1.590003407
6,13.173003879,6.667604140,3.838793654,2.283002918,1.636806001
7,13.293334415,6.886617490,3.658195340,2.281918400,1.645051430
8,13.188519368,6.720397263,3.641457712,2.324433804,1.658037616
9,13.175055949,6.732637786,3.775237504,2.314423987,1.597374100
10,13.187733810,6.686547885,3.646877114,2.294688960,1.610919445
,,,,,
MEAN,13.21,6.72,3.73,2.30,1.63
SPEEDUP,1.00,1.97,3.54,5.74,8.12
