RUN,1 thread,2 threads,4 threads,8 threads,16 threads
1,7.196178375,4.361315462,2.792279394,2.133226547,1.781701994
2,7.197923954,4.358407710,2.817193948,2.129685898,1.792196404
3,7.186602576,4.363655014,2.828052363,2.132727664,1.776797242
4,7.213423539,4.339098611,2.796699663,2.127974082,1.818704286
5,7.188733239,4.381243843,2.797803433,2.137112674,1.779054200
6,7.251081990,4.351988612,2.788691995,2.132068922,1.785220395
7,7.161197454,4.353153453,2.791257862,2.137330704,1.796485376
8,7.154699387,4.332015653,2.802177182,2.136334421,1.785019683
9,7.151351217,4.362013382,2.795278753,2.136566255,1.772718133
10,7.152791072,4.375373631,2.792902281,2.131690897,1.788320463
,,,,,
MEAN,7.19,4.36,2.80,2.13,1.79
SPEEDUP,1.00,1.65,2.57,3.37,4.02
