RUN,1 thread,2 threads,4 threads,8 threads,16 threads
1,8.338389604,4.702816750,3.703624746,2.560394061,1.995948902
2,8.445995157,4.692284480,2.721124565,2.618799959,2.000758146
3,8.419608242,4.676123323,3.403193674,2.611146626,1.846639338
4,8.422511932,4.732588437,2.723727268,2.481817482,1.993646099
5,8.444179907,4.695390551,2.727056107,2.490398478,1.897280595
6,8.448200097,4.702093275,2.707234890,2.573667983,1.870948962
7,8.420581997,4.739351600,2.733064077,2.574490247,1.994111041
8,8.422430972,4.706499097,3.474803919,2.727768229,1.986721133
9,8.436350335,4.713079753,2.678704937,2.592987472,2.031367742
10,8.419979703,4.828826951,2.677316177,2.620521396,1.849224743
,,,,,
MEAN,8.42,4.72,2.95,2.59,1.95
SPEEDUP,1.00,1.78,2.85,3.26,4.33
